"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
05C0001198,HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,"2600 REDONDO AVE, SUITE 103",LONG BEACH,CA,90806,,(562) 988-7162,95,4,1,97,88,10,2,93,81,15,4,92,78,18,4,91,,1837,575,31,1/1/2019,12/31/2019
05C0001205,NORTH ANAHEIM SURGERY CENTER LLC DBA UNITED PACIFIC SURGERY CENTER,1154 NORTH EUCLID ST,ANAHEIM,CA,92801,,(714) 635-6272,96,3,1,98,91,7,2,95,86,11,3,94,83,15,2,94,,659,250,38,1/1/2019,12/31/2019
05C0001321,EL MIRADOR SURGICAL CENTER,1180 N. INDIAN CANYON #110,PALM SPRINGS,CA,92262,,(469) 893-6573,94,5,1,97,89,8,3,93,84,12,4,93,84,13,3,93,,1152,398,35,1/1/2019,12/31/2019
05C0001447,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY SUITE 110,TORRANCE,CA,90505,,(310) 325-4555,96,4,0,98,89,8,3,93,89,8,3,94,83,14,3,93,,922,239,26,1/1/2019,12/31/2019
05C0001453,CHICO SURGERY CENTER LP,615 WEST EAST AVE,CHICO,CA,95926,,(530) 895-1800,95,5,0,98,90,7,3,93,84,13,3,93,87,11,2,95,,771,248,32,1/1/2019,12/31/2019
05C0001481,PAIN DIAGNOSTIC AND TREATMENT CENTER LP,2805 J ST SUITE 200,SACRAMENTO,CA,95816,,(916) 231-8755,98,2,0,99,93,6,1,96,89,10,1,95,86,13,1,95,,1038,285,27,1/1/2019,12/31/2019
05C0001493,NORTH STATE SURGERY CENTERS LP DBA CT ST SURGERY CENTER,2184 CT ST,REDDING,CA,96001,,(530) 225-7417,98,2,0,99,88,10,2,93,88,10,2,95,87,12,1,95,,1323,478,36,1/1/2019,12/31/2019
05C0001505,MAGNOLIA SURGERY CENTER LP DBA MAGNOLIA SURGERY CENTER,14571 MAGNOLIA ST SUITE 107,WESTMINSTER,CA,92683,,(714) 903-9039,96,3,1,98,87,11,2,92,75,23,2,91,78,20,2,91,,935,219,23,1/1/2019,12/31/2019
05C0001508,AMBULATORY SURGERY CENTER OF STOCKTON,2388 N. CALIFORNIA ST.,STOCKTON,CA,95204,,(209) 944-9100,99,1,0,99,93,6,1,96,94,6,0,97,94,5,1,97,,1122,427,38,1/1/2019,12/31/2019
05C0001515,SEQUOIA SURGICAL PAVILION,"2405 SHADELANDS DR, SUITE 200",WALNUT CREEK,CA,94598,,(925) 280-3814,,,,,,,,,,,,,,,,,4,,,,,
05C0001529,SANTA BARBARA SURGERY CENTER LP,3045 DE LA VINA ST,SANTA BARBARA,CA,93105,,(805) 569-3226,97,3,0,99,86,11,3,92,85,13,2,94,83,15,2,94,,1001,391,39,1/1/2019,12/31/2019
05C0001534,FOLSOM OUTPATIENT SURGERY CENTER LP DBA FOLSOM SURGERY CENTER,1651 CREEKSIDE DR SUITE 100,FOLSOM,CA,95630,,(916) 673-1990,97,2,1,98,94,5,1,96,91,7,2,96,89,10,1,95,,1123,380,34,1/1/2019,12/31/2019
05C0001558,PACIFIC ENDO-SURGICAL CENTER LP,3445 PACIFIC COAST HWY SUITE 120,TORRANCE,CA,90505,,(310) 326-1666,96,4,0,98,89,9,2,93,84,13,3,93,78,20,2,92,,1308,417,32,1/1/2019,12/31/2019
05C0001571,UNIVERSITY SURGERY CENTER,1390 E. YOSEMITE AVE. STE. B,MERCED,CA,95340,,(209) 580-3409,96,4,0,98,87,9,4,92,85,13,2,94,86,12,2,94,,1211,321,27,1/1/2019,12/31/2019
05C0001572,ROSEVILLE SURGERY CENTER LP DBA ROSEVILLE SURGERY CENTER,1420 EAST ROSEVILLE PARKWAY SUITE 100,ROSEVILLE,CA,95661,,(916) 677-2488,97,2,1,98,92,7,1,96,85,13,2,94,87,10,3,94,,858,256,30,1/1/2019,12/31/2019
05C0001596,TRESANTI SURGICAL CENTER LLC,"5201 NORRIS CANYON RD., # 100",SAN RAMON,CA,94583,,(925) 973-0605,99,1,0,99,94,5,1,96,97,3,0,98,94,5,1,98,,910,276,30,1/1/2019,12/31/2019
05C0001604,PROCEDURE CENTER OF SOUTH SACRAMENTO INC,"8120 TIMBERLAKE WAY, STE. 103",SACRAMENTO,CA,95823,,(916) 681-2350,,,,,,,,,,,,,,,,,4,,,,,
05C0001643,NORTH STATE SURGERY CENTERS LP DBA MERCY SURGERY CENTER,2175 ROSALINE AVE SUITE A,REDDING,CA,96001,,(530) 225-7417,98,2,0,99,92,7,1,95,91,8,1,95,92,7,1,97,,961,380,40,1/1/2019,12/31/2019
05C0001663,SKYWAY SURGERY CENTER LLC,121 RALEY BLVD,CHICO,CA,95928,,(530) 230-2007,,,,,,,,,,,,,,,,,4,,,,,
05C0001711,ST JOSEPH'S SURGERY CENTER LP,1800 NORTH CALIFORNIA ST SUITE 1,STOCKTON,CA,95204,,(209) 467-6316,97,3,0,98,91,7,2,95,84,14,2,93,84,14,2,94,,547,127,23,1/1/2019,12/31/2019
05C0001719,SCRIPPS HEALTH,3811 VALLEY CENTRE DR.,SAN DIEGO,CA,92130,,(858) 678-6955,99,1,0,99,95,4,1,97,95,4,1,97,93,6,1,97,,1400,488,35,1/1/2019,12/31/2019
05C0001750,REAGAN ST SURGERY CENTER LLC,10904 REAGAN ST,LOS ALAMITOS,CA,90720,,(562) 596-3140,96,3,1,98,88,9,3,93,85,12,3,94,83,15,2,93,,1007,346,34,1/1/2019,12/31/2019
05C0001756,ENCINITAS ENDOSCOPY CENTER LLC,"700 GARDEN VIEW CRT, STE. 101",ENCINITAS,CA,92024,,(760) 274-2700,98,2,0,99,91,7,2,94,88,10,2,95,88,11,1,96,,1040,324,31,1/1/2019,12/31/2019
05C0001757,GRASS VALLEY SURGERY CENTER,408 SIERRA COLLEGE DR,GRASS VALLEY,CA,95945,,(530) 271-2282,99,1,0,100,91,7,2,95,90,9,1,96,91,7,2,96,,810,338,42,1/1/2019,12/31/2019
05C0001764,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY #110,TORRANCE,CA,90505,,(310) 325-4555,98,2,0,99,92,6,2,95,90,9,1,95,87,12,1,95,,1196,338,28,1/1/2019,12/31/2019
05C0001803,PACIFIC ENDOSCOPY AND SURGERY CENTER LLC,17815 NEWHOPE ST SUITE R,FOUNTAIN VALLEY,CA,92708,,(714) 432-8881,96,3,1,98,91,7,2,95,85,13,2,93,81,17,2,93,,1297,291,22,1/1/2019,12/31/2019
05C0001830,ASPEN SURGERY CENTER LLC DBA ASPEN SURGERY CENTER,133 LA CASA VIA SUITE 150,WALNUT CREEK,CA,94598,,(925) 937-8100,,,,,,,,,,,,,,,,,4,,,,,
05C0001840,OASIS SURGERY CENTER LP,815 AUTO CENTER DR.,PALMDALE,CA,93551,,(661) 206-6262,98,2,0,99,90,7,3,94,93,6,1,96,92,7,1,96,,1484,273,19,1/1/2019,12/31/2019
05C0001842,SCRIPPS ENCINITAS SURGERY CENTER LLC,320 SANTA FE DR  SUITE LL2,ENCINITAS,CA,92024,,(760) 632-3900,97,3,0,98,92,7,1,95,88,11,1,95,85,14,1,94,,1016,375,37,1/1/2019,12/31/2019
05C0001860,TALBERT SURGICAL ASSOCIATES,"7677 CENTER AVE, # 104",HUNTINGTON BEACH,CA,92647,,(714) 881-8722,95,4,1,97,86,10,4,91,79,17,4,92,77,20,3,90,,1624,450,28,1/1/2019,12/31/2019
05C0001863,HACIENDA OUTPATIENT SURGERY CENTER LLC DBA HACIENDA SURGERY CENTER,4626 WILLOW RD SUITE 100,PLEASANTON,CA,94588,,(925) 734-6744,97,3,0,98,93,6,1,96,87,10,3,94,88,11,1,95,,1064,362,34,1/1/2019,12/31/2019
05C0001867,SPECIALTY SURGERY OF FOUNTAIN VALLEY,11190 WARNER AVE.,FOUNTAIN VALLEY,CA,92708,,(714) 338-1650,,,,,,,,,,,,,,,,,4,,,,,
05C0001879,SCRIPPS HEALTH,15004 INNOVATION DR.,SAN DIEGO,CA,92128,,(858) 678-6955,98,2,0,99,92,6,2,95,90,9,1,96,90,8,2,96,,1929,572,30,1/1/2019,12/31/2019
05C0001975,HUNTINGTON AMBULATORY SURGERY CENTER LLC,"625 S. FAIR OAKS AVE, SUITE 380",PASADENA,CA,91105,,(626) 229-8990,97,3,0,98,89,9,2,94,90,8,2,95,90,8,2,96,,1337,373,28,1/1/2019,12/31/2019
05C0002058,UC REGENTS UCLA DEPT OF MEDICINE PROFESSIONAL GROUP,25775 WEST MCBEAN PARKWAY SUITE 115,LOS ANGELES,CA,90095,,(661) 253-7956,95,4,1,97,90,8,2,94,78,17,5,91,77,19,4,90,,1525,371,24,1/1/2019,12/31/2019
06C0001028,KAISER PERMANENTE SURGERY CTR,2045 FRANKLIN ST,DENVER,CO,80205,,(303) 764-4420,97,3,0,98,91,8,1,95,83,14,3,93,78,20,2,92,,2721,793,29,1/1/2019,12/31/2019
06C0001058,GOLDEN RIDGE SURGERY CENTER LLC,"660 GOLDEN RIDGE RD., STE. 110",GOLDEN,CO,80401,,(303) 963-1507,97,2,1,98,91,8,1,95,87,12,1,94,83,14,3,93,,891,310,35,1/1/2019,12/31/2019
06C0001079,SUMMIT VIEW SURGERY CENTER LLC,7730 SOUTH  BROADWAY,LITTLETON,CO,80122,,(303) 730-2376,97,3,0,98,93,5,2,96,87,11,2,94,84,15,1,94,,903,231,26,1/1/2019,12/31/2019
06C0001080,FLATIRONS SURGERY CENTER LLC,70 HEALTH PARK DR,LOUISVILLE,CO,80027,,(720) 890-2721,97,3,0,99,89,8,3,93,87,10,3,94,83,15,2,94,,1267,322,25,1/1/2019,12/31/2019
06C0001085,CROWN POINT SURGERY CENTER LLC,9397 CROWN CREST BLVD,PARKER,CO,80138,,(720) 974-6499,98,2,0,99,92,7,1,96,92,6,2,96,88,11,1,96,,1117,283,25,1/1/2019,12/31/2019
06C0001110,HARVARD PARK SURGERY CENTER LLC,1000 EAST HARVARD AVE,DENVER,CO,80210,,(303) 778-5773,96,3,1,98,92,6,2,95,87,11,2,94,84,15,1,94,,992,372,38,1/1/2019,12/31/2019
06C0001133,GREENWOOD ASC LLC DBA COLORADO PREMIER SURGERY CENTER AT GREENWOOD VILLAGE,7447 EAST BERRY AVE SUITE 100,GREENWOOD VILLAGE,CO,80111,,(720) 493-4115,98,2,0,99,92,6,2,95,86,12,2,94,85,12,3,94,,1468,325,22,1/1/2019,12/31/2019
06C0001145,KAISER PERMANENTE,10240 PARK MEADOWS DR,DENVER,CO,80247,,(303) 649-5628,97,3,0,99,93,6,1,96,91,8,1,96,88,10,2,95,,3874,1199,31,1/1/2019,12/31/2019
07C0001024,FAIRFIELD SURGERY CENTER LLC,305 BLACK ROCK TURNPIKE,FAIRFIELD,CT,6825,,(203) 337-2660,,,,,,,,,,,,,,,,,4,,,,,
07C0001048,NORTH HAVEN SURGERY CENTER LLC,52 WASHINGTON AVE SUITE 1,NORTH HAVEN,CT,6473,,(203) 234-7727,98,2,0,99,89,9,2,94,86,11,3,94,83,15,2,93,,731,227,31,1/1/2019,12/31/2019
10C0001025,SURGERY CENTER AT UNIVERSITY PARK LLC DBA PREMIER SURGERY CENTER OF SARASOTA,983 SOUTH BENEVA RD,SARASOTA,FL,34232,,(941) 365-5355,97,3,0,98,91,7,2,95,86,12,2,94,85,13,2,94,,1203,510,42,1/1/2019,12/31/2019
10C0001203,UNIVERSITY SURGERY CENTER LTD,7251 UNIVERSITY BLVD SUITE 100,WINTER PARK,FL,32792,,(407) 677-0066,97,2,1,98,94,4,2,96,91,7,2,96,90,9,1,96,,1108,307,28,1/1/2019,12/31/2019
10C0001214,THE OUTPATIENT CENTER OF BOYNTON BEACH,2351 SOUTH SEACREST BLVD,BOYNTON BEACH,FL,33435,,(561) 732-5900,96,4,0,98,88,9,3,92,85,13,2,94,84,13,3,93,,1063,320,30,1/1/2019,12/31/2019
10C0001264,TREASURE COAST SURGERY CENTER LLC DBA TREASURE COAST CENTER FOR SURGERY,1155 SOUTHEAST MONTEREY RD EXT,STUART,FL,34994,,(772) 286-8028,,,,,,,,,,,,,,,,,4,,,,,
10C0001293,WINTER HAVEN AMBULATORY SURGICAL CENTER LLC,325 AVE B NW,WINTER HAVEN,FL,33881,,(469) 893-6573,97,3,0,98,90,8,2,94,87,11,2,94,87,11,2,95,,922,311,34,1/1/2019,12/31/2019
10C0001302,TAMARAC SURGERY CENTER LLC DBA THE SURGERY CENTER OF FT LAUDERDALE,4485 NORTH STATE RD 7,LAUDERDALE LAKES,FL,33319,,(954) 735-0096,97,3,0,98,87,10,3,92,80,17,3,92,79,18,3,91,,1084,306,28,1/1/2019,12/31/2019
10C0001313,DOCTORS SURGICAL PARTNERSHIP DBA MELBOURNE SAME DAY SURGERY,1035 SOUTH APOLLO BLVD,MELBOURNE,FL,32901,,(513) 319-6256,97,3,0,98,93,6,1,96,87,11,2,95,87,12,1,95,,911,395,44,1/1/2019,12/31/2019
10C0001332,LASER AND SURGERY CENTER OF THE PALM BEACHES,3602 KYOTO GARDENS DR,PALM BEACH GARDENS,FL,33410,,(561) 799-3388,96,3,1,98,88,9,3,93,85,12,3,94,83,15,2,93,,1156,465,40,1/1/2019,12/31/2019
10C0001354,SURGERY CENTER OF SOUTHWEST FLORIDA INC,12631 WHITEHALL DR,FORT MYERS,FL,33907,,(239) 772-0500,,,,,,,,,,,,,,,,,4,,,,,
10C0001362,DESTIN SURGERY CENTER LLC,4485 FURLING LANE,DESTIN,FL,32541,,(850) 650-7606,98,2,0,99,94,5,1,97,92,7,1,96,91,8,1,97,,1048,420,40,1/1/2019,12/31/2019
10C0001363,DOCTORS GI PARTNERSHIP LTD DBA MELBOURNE GI CENTER,1051 SOUTH HICKORY ST SUITE K,MELBOURNE,FL,32901,,(513) 319-6256,96,3,1,98,93,6,1,96,85,12,3,93,83,14,3,93,,887,314,35,1/1/2019,12/31/2019
10C0001377,OPHTHALMOLOGY SURGERY CENTER OF ORLANDO LLC DBA ORLANDO OPHTHALMOLOGY SURGERY CENTER,105 BONNIE LOCH CT,ORLANDO,FL,32806,,(407) 428-0040,96,3,1,98,91,7,2,95,86,11,3,93,83,14,3,93,,1154,465,40,1/1/2019,12/31/2019
10C0001418,THE SURGERY CENTER AT JENSEN BEACH LLC,3995 NW GOLDENROD RD,JENSEN BEACH,FL,34957,,(772) 497-0020,97,2,1,98,90,8,2,94,87,12,1,95,86,13,1,95,,1031,478,46,1/1/2019,12/31/2019
10C0001428,SOUTH FLORIDA AMBULATORY SURGICAL CENTER LLC,6110 SOUTHWEST 70TH ST,SOUTH MIAMI,FL,33143,,(305) 662-3100,98,2,0,99,92,6,2,95,88,10,2,95,87,11,2,94,,1246,312,25,1/1/2019,12/31/2019
10C0001461,UNIVERSITY INTERVENTIONAL CENTER,5102 NORTH DAVIS HWY,PENSACOLA,FL,32503,,(850) 549-4960,95,4,1,97,91,7,2,94,80,17,3,93,89,9,2,96,,1220,264,22,1/1/2019,12/31/2019
10C0001474,MURDOCK AMBULATORY SURGERY CENTER LLC,1400 EDUCATION WAY,PORT CHARLOTTE,FL,33948,,(941) 625-9800,98,2,0,99,89,8,3,93,88,11,1,95,88,11,1,96,,814,375,46,1/1/2019,12/31/2019
10C0001490,ANDREWS INSTITUTE ASC LLC,1040 GULF BREEZE PKWY,GULF BREEZE,FL,32561,,(850) 916-8623,,,,,,,,,,,,,,,,,4,,,,,
10C0001505,LAKE ENDOSCOPY CENTER,17355 S.E. 109TH TERRACE RD,SUMMERFIELD,FL,34491,,(352) 245-0846,99,1,0,99,93,6,1,96,95,4,1,97,93,7,0,98,2,1109,634,57,1/1/2019,12/31/2019
10C0001512,TLC ASC LLC DBA TLC OUTPATIENT SURGERY AND LASER CENTER,201 WEST GUAVA ST,LADY LAKE,FL,32159,,(352) 391-5875,97,3,0,99,90,8,2,94,87,11,2,94,86,12,2,94,,1223,660,54,1/1/2019,12/31/2019
10C0001521,RIVERWALK AMBULATORY SURGERY CENTER LLC,200 3RD AVE WEST SUITE 170,BRADENTON,FL,34205,,(941) 216-3969,98,2,0,99,90,9,1,95,85,13,2,94,85,13,2,94,,1339,595,44,1/1/2019,12/31/2019
10C0001525,UNIVERSITY MEDICAL SERVICE ASSOCIATION INC DBA USF HEALTH ENDOSCOPY AND SURGERY CENTER,13330 USF LAUREL DR 2ND FLOOR,TAMPA,FL,33612,,(813) 974-2446,98,2,0,99,92,6,2,95,87,10,3,95,92,7,1,97,,964,209,22,1/1/2019,12/31/2019
10C0001528,CORAL RIDGE OUTPATIENT CENTER LLC,5301 NORTH DIXIE HWY.,OAKLAND PARK,FL,33334,,(954) 832-3300,95,4,1,97,90,7,3,94,85,13,2,94,85,13,2,94,,1168,354,30,1/1/2019,12/31/2019
10C0001539,SURGERY CENTER OF PEMBROKE PINES LLC DBA BROWARD SPECIALTY SURGICAL CENTER,7261 SHERIDAN ST SUITE 100A,HOLLYWOOD,FL,33024,,(954) 322-4222,96,4,0,98,88,9,3,93,88,10,2,95,87,10,3,94,,1218,254,21,1/1/2019,12/31/2019
10C0001545,SURGICARE OF MIRAMAR LLC,14601 SOUTHWEST 29TH ST SUITE 301,MIRAMAR,FL,33027,,(954) 266-3807,98,2,0,99,94,4,2,96,94,4,2,97,89,7,4,94,,878,196,22,1/1/2019,12/31/2019
10C0001549,TITUSVILLE CENTER FOR SURGICAL EXCELLENCE LLC,814 SOUTH WASHIGNTON AVE,TITUSVILLE,FL,32796,,(321) 567-6300,99,1,0,99,95,4,1,97,94,5,1,97,93,7,0,98,,1439,671,47,1/1/2019,12/31/2019
10C0001571,SURGERY CENTRE OF SW FLORIDA LLC,665 DEL PRADO BLVD S.,CAPE CORAL,FL,33990,,(239) 772-3636,96,4,0,98,91,7,2,94,86,12,2,94,86,12,2,94,,1277,545,43,1/1/2019,12/31/2019
10C0001576,THE OUTPATIENT CENTER OF DELRAY,4675 LINTON BLVD STE 101,DELRAY BEACH,FL,33445,,(561) 499-9585,96,3,1,97,92,6,2,95,89,8,3,94,87,10,3,94,,887,321,36,1/1/2019,12/31/2019
11C0001006,EMORY HEALTHCARE,"1365 CLIFTON RD, NE SUITE BT200",ATLANTA,GA,30322,,(404) 778-3348,97,2,1,98,91,6,3,94,89,10,1,96,88,10,2,95,,2434,409,17,1/1/2019,12/31/2019
11C0001049,RESURGENS SURGERY CENTER LLC,5671 PEACHTREE DUNWOODY RD SUITE 800,ATLANTA,GA,30342,,(404) 531-8532,98,2,0,99,93,6,1,96,92,6,2,96,91,8,1,97,,1139,332,29,1/1/2019,12/31/2019
11C0001056,THE ENDOSCOPY CENTER OF SOUTHEAST GEORGIA INC,200 MAPLE DR,VIDALIA,GA,30474,,(912) 538-1003,99,1,0,99,95,5,0,98,90,10,0,96,94,6,0,98,,991,179,18,1/1/2019,12/31/2019
11C0001085,NORTHWEST GEORGIA ORTHOPAEDIC SURGERY CENTER LLC,2550 WINDY HILL RD SOUTHEAST SUITE 218,MARIETTA,GA,30067,,(770) 953-8058,97,3,0,98,92,6,2,95,88,10,2,95,85,13,2,94,,1174,312,27,1/1/2019,12/31/2019
11C0001164,TATTNALL HOSPITAL COMPANY LLC DBA OPTIM SURGERY CENTER,210 EAST DERENNE AVE,SAVANNAH,GA,31405,,(912) 644-3361,,,,,,,,,,,,,,,,,4,,,,,
11C0001177,EAST WEST SURGERY CENTER LP,2041 MESA VALLEY WAY SUITE 125,AUSTELL,GA,30106,,(678) 309-8100,97,3,0,98,90,8,2,94,89,10,1,96,87,11,2,95,,1117,325,29,1/1/2019,12/31/2019
11C0001182,ROSWELL SURGERY CENTER LLC,1285 HEMBREE RD SUITE 200C,ROSWELL,GA,30076,,(770) 772-5520,98,1,1,99,95,4,1,97,91,7,2,95,87,10,3,94,,975,293,30,1/1/2019,12/31/2019
11C0001192,LAWRENCEVILLE SURGERY CENTER LLC,758 OLD NORCROSS RD SUITE 125,LAWRENCEVILLE,GA,30046,,(678) 987-0820,98,2,0,99,92,7,1,96,91,8,1,96,90,8,2,96,,854,239,28,1/1/2019,12/31/2019
11C0001234,ORTHOPEDIC SOUTH SURGICAL PARTNERS LLC,6645 LAKE DR,MORROW,GA,30260,,(678) 422-4230,98,2,0,99,92,6,2,95,91,7,2,95,87,11,2,95,,772,209,27,1/1/2019,12/31/2019
11C0001258,THOMAS EYE SURGERY CENTER LLC,5995 BARFIELD RD,SANDY SPRINGS,GA,30328,,(678) 781-7388,96,3,1,98,90,8,2,94,83,14,3,94,87,11,2,94,,1238,285,24,1/1/2019,12/31/2019
