index,provider_number,npi,name,address,city,state,state_name,county_name,zip_code,latitude,longitude,endoscopy,cataract,colonoscopy_count,colonoscopy_performance,colonoscopy_rate,normothermia,anterior_vitrectomy,state_code,county_fips,tract_code,block_code,geo_msa_name,geo_msa_code,geo_medage,geo_malemedage,geo_femalemedage,geo_totalpop,geo_malepop,geo_malepop_percent,geo_femalepop,geo_femalepop_percent,geo_whitepop,geo_whitepop_percent,geo_blackpop,geo_blackpop_percent,geo_nativeamericanpop,geo_nativeamericanpop_percent,geo_asianpop,geo_asianpop_percent,geo_latinopop,geo_latinopop_percent,census_pop_2010,uic_code,description,urban_rural,year_facility
11,01C0001035,1356321293,"Surgery Center, The",1440 Highway Drive,Oxford,AL,Alabama,Calhoun County,36203,33.61,-85.82,100,NA,887,No Different Than the NAtioNAl Rate,13.5,100,0.49,1,1015,1102,2033,"Anniston-Oxford, AL",11500,29.4,27.3,29.9,1656,785,0.474,871,0.526,1282,0.888,161,0.112,0,0,0,0,213,0.129,118572,2,Small-in a metro area with fewer than 1 million residents,0,2019
12,01C0001037,1013924133,South Alabama Outpatient Services,201 East Watts Street,Enterprise,AL,Alabama,Coffee County,36330,31.32,-85.86,88.57,NA,65,No Different Than the NAtioNAl Rate,11.7,100,0,1,1031,11000,1027,"Enterprise, AL",21460,30.2,30.1,30.3,1627,868,0.533,759,0.467,751,0.644,415,0.356,0,0,0,0,461,0.283,49948,5,Micropolitan adjacent to a small metro area,1,2019
13,01C0001048,1669481255,The Surgery Center Of Cullman,1403 Wall Street Ne,Cullman,AL,Alabama,Cullman County,35055,34.2,-86.83,14.71,NA,1073,No Different Than the NAtioNAl Rate,12.2,98.92,0,1,1043,964900,1106,"Cullman, AL",18980,48.5,50.3,45,1955,775,0.396,1180,0.604,1691,0.865,20,0.01,35,0.018,64,0.033,0,0,80406,3,Micropolitan adjacent to a large metro area,1,2019
14,01C0001011,1962467951,Gadsden Surgery Center,418 South 5Th Street,Gadsden,AL,Alabama,Etowah County,35901,34.01,-86.01,NA,NA,411,No Different Than the NAtioNAl Rate,12.9,NA,NA,1,1055,1200,2014,"Gadsden, AL",23460,39.8,37.5,49.1,1592,849,0.533,743,0.467,1154,0.884,141,0.108,0,0,0,0,287,0.18,104430,2,Small-in a metro area with fewer than 1 million residents,0,2019
15,01C0001039,1003815242,Dothan Surgery Center,1450 Ross Clark Circle,Dothan,AL,Alabama,Houston County,36301,31.2,-85.37,97.92,NA,4468,No Different Than the NAtioNAl Rate,13.8,100,0.15,1,1069,41000,3032,"Dothan, AL",20020,39.1,33.8,41.6,1463,671,0.459,792,0.541,652,0.454,692,0.482,2,0.001,28,0.02,28,0.019,101547,2,Small-in a metro area with fewer than 1 million residents,0,2019
16,01C0001010,1346349164,Surgery Center South,"2800 Ross Clark Circle, Suite 3",Dothan,AL,Alabama,Houston County,36301,31.21,-85.43,NA,NA,1193,No Different Than the NAtioNAl Rate,12,NA,NA,1,1069,40206,2024,"Dothan, AL",20020,45.5,45.6,45.4,4137,1929,0.466,2208,0.534,3400,0.849,363,0.091,22,0.005,137,0.034,134,0.032,101547,2,Small-in a metro area with fewer than 1 million residents,0,2019
17,01C0001014,1932298718,Outpatient Services East Inc,52 Medical Park Drive East,Birmingham,AL,Alabama,Jefferson County,35235,33.6,-86.67,NA,NA,2071,No Different Than the NAtioNAl Rate,13.6,NA,NA,1,1073,5903,1002,"Birmingham-Hoover, AL",13820,36.6,40.3,31,2216,985,0.444,1231,0.556,714,0.379,1169,0.621,0,0,0,0,333,0.15,658466,1,Large-in a metro area with at least 1 million residents or more,0,2019
18,01C0001054,1730318353,"Gardendale Surgical Associates, Llc",2213 Decatur Highway,Gardendale,AL,Alabama,Jefferson County,35071,33.68,-86.82,NA,NA,642,No Different Than the NAtioNAl Rate,11.3,NA,NA,1,1073,11704,2072,"Birmingham-Hoover, AL",13820,36.5,32.8,40.7,1559,696,0.446,863,0.554,1344,0.888,50,0.033,0,0,45,0.03,45,0.029,658466,1,Large-in a metro area with at least 1 million residents or more,0,2019
19,01C0001008,1285690073,Outpatient Care Center,2720 University Boulevard,Birmingham,AL,Alabama,Jefferson County,35233,33.51,-86.79,NA,NA,NA,NA,NA,100,0.52,1,1073,4701,1001,"Birmingham-Hoover, AL",NA,26.8,28.1,26.6,756,409,0.541,347,0.459,478,0.642,207,0.278,0,0,60,0.081,11,0.015,658466,1,Large-in a metro area with at least 1 million residents or more,0,2019
20,01C0001027,1790756237,Birmingham Surgery Center,2621 19Th Street South,Homewood,AL,Alabama,Jefferson County,35209,33.48,-86.79,100,NA,1335,No Different Than the NAtioNAl Rate,13.2,100,0.12,1,1073,10702,1036,"Birmingham-Hoover, AL",13820,46.6,43.5,46.9,1787,775,0.434,1012,0.566,1651,0.952,8,0.005,0,0,62,0.036,53,0.03,658466,1,Large-in a metro area with at least 1 million residents or more,0,2019
21,01C0001051,1588854772,Alabama Digestive Health Endoscopy Center,2022 Brookwood Medical Center Drive,Homewood,AL,Alabama,Jefferson County,35209,33.46,-86.78,NA,NA,2187,No Different Than the NAtioNAl Rate,13.7,NA,NA,1,1073,12905,3011,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658466,1,Large-in a metro area with at least 1 million residents or more,0,2019
22,01C0001022,1972568830,Shoals Outpatient Surgery,103 Helton Court,Florence,AL,Alabama,Lauderdale County,35630,34.83,-87.67,NA,NA,NA,Number of Cases Too Small,NA,0,0,1,1077,11000,2012,"Florence-Muscle Shoals, AL",22520,43.2,34.3,43.8,826,302,0.366,524,0.634,402,0.487,403,0.488,0,0,0,0,0,0,92709,2,Small-in a metro area with fewer than 1 million residents,0,2019
23,01C0001013,1841342789,"Surgery Center Of Huntsville, The",721 Madison Street,Huntsville,AL,Alabama,Madison County,35801,34.72,-86.58,90.48,NA,1615,No Different Than the NAtioNAl Rate,11.4,99.79,0.11,1,1089,3100,3027,"Huntsville, AL",26620,55.4,45.1,61.8,956,403,0.422,553,0.578,836,0.877,94,0.099,0,0,0,0,3,0.003,334811,2,Small-in a metro area with fewer than 1 million residents,0,2019
24,01C0001044,1356369755,"Madison Surgery Center, Llc",460 Lanier Road,Madison,AL,Alabama,Madison County,35758,34.69,-86.74,44.44,NA,2208,No Different Than the NAtioNAl Rate,12,82.91,NA,1,1089,11028,3021,"Huntsville, AL",NA,32,25.5,43.7,2430,1167,0.48,1263,0.52,1322,0.655,524,0.26,0,0,122,0.06,413,0.17,334811,2,Small-in a metro area with fewer than 1 million residents,0,2019
25,01C0001025,1235178005,"Huntsville Endoscopy Center, Inc",119 Longwood Drive,Huntsville,AL,Alabama,Madison County,35801,34.72,-86.58,54.19,NA,884,No Different Than the NAtioNAl Rate,14,NA,NA,1,1089,1901,1017,"Huntsville, AL",26620,42.1,39.5,42.6,779,366,0.47,413,0.53,697,0.923,0,0,25,0.033,23,0.03,24,0.031,334811,2,Small-in a metro area with fewer than 1 million residents,0,2019
26,01C0001050,1265657258,"Eye Surgery Center Of North Alabama, Inc",3501 South Memorial Parkway,Huntsville,AL,Alabama,Madison County,35801,34.7,-86.58,NA,NA,NA,NA,NA,NA,0.02,1,1089,2600,1037,"Huntsville, AL",26620,46.8,46.1,51.7,1219,531,0.436,688,0.564,1076,0.883,79,0.065,0,0,6,0.005,0,0,334811,2,Small-in a metro area with fewer than 1 million residents,0,2019
27,01C0001009,1720044522,Surgicare Of Mobile,2890 Dauphin St,Mobile,AL,Alabama,Mobile County,36606,30.69,-88.11,100,NA,1930,No Different Than the NAtioNAl Rate,13.4,100,0.21,1,1097,2700,1027,"Mobile, AL",33660,32.5,33.6,31.6,995,475,0.477,520,0.523,205,0.213,716,0.745,0,0,0,0,34,0.034,412992,2,Small-in a metro area with fewer than 1 million residents,0,2019
28,01C0001000,1376634683,Montgomery Surgical Center Ltd,470 Taylor Road,Montgomery,AL,Alabama,Montgomery County,36117,32.39,-86.18,42.71,NA,600,No Different Than the NAtioNAl Rate,11.1,100,0.26,1,1101,5414,1022,"Montgomery, AL",33860,28.9,28.4,32.5,2358,1027,0.436,1331,0.564,335,0.142,1995,0.846,0,0,0,0,0,0,229363,2,Small-in a metro area with fewer than 1 million residents,0,2019
29,01C0001053,1336375930,Jackson Surgery Center,1725 Park Place,Montgomery,AL,Alabama,Montgomery County,36106,32.37,-86.29,NA,NA,1789,No Different Than the NAtioNAl Rate,11.6,NA,NA,1,1101,600,2019,"Montgomery, AL",33860,35.3,33.6,44.1,749,391,0.522,358,0.478,47,0.066,659,0.928,4,0.006,0,0,39,0.052,229363,2,Small-in a metro area with fewer than 1 million residents,0,2019
30,01C0001018,1386782787,Decatur Ambulatory Surgery Center,2828 Hwy 31 South,Decatur,AL,Alabama,Morgan County,35603,34.55,-86.97,NA,NA,1815,No Different Than the NAtioNAl Rate,12.2,NA,NA,1,1103,5109,3015,"Decatur, AL",19460,30.4,30.4,30.5,835,360,0.431,475,0.569,463,0.935,32,0.065,0,0,0,0,340,0.407,119490,2,Small-in a metro area with fewer than 1 million residents,0,2019
31,01C0001043,1962513788,Surgery Center Of Decatur,"1122 14Th Avenue, Se",Decatur,AL,Alabama,Morgan County,35601,34.59,-86.97,NA,NA,1041,No Different Than the NAtioNAl Rate,11.7,NA,NA,1,1103,100,5030,"Decatur, AL",NA,35.9,30.6,45.1,581,360,0.62,221,0.38,404,0.955,19,0.045,0,0,0,0,158,0.272,119490,2,Small-in a metro area with fewer than 1 million residents,0,2019
32,01C0001046,1538117841,Shelby Baptist Ambulatory Surgery Center,1010 First Street North,Alabaster,AL,Alabama,Shelby County,35007,33.25,-86.81,NA,NA,1375,No Different Than the NAtioNAl Rate,9.6,NA,NA,1,1117,30319,1023,"Birmingham-Hoover, AL",13820,41,40.3,50.1,1412,750,0.531,662,0.469,580,0.434,709,0.531,0,0,7,0.005,76,0.054,195085,1,Large-in a metro area with at least 1 million residents or more,0,2019
33,01C0001017,1679544050,Healthsouth Surgical Center Of Tuscaloosa,1400 Mcfarland Blvd N,Tuscaloosa,AL,Alabama,Tuscaloosa County,35406,33.23,-87.53,57.45,NA,214,No Different Than the NAtioNAl Rate,12.9,99.01,0.1,1,1125,10406,1011,"Tuscaloosa, AL",46220,45.2,35.3,48.9,1440,760,0.528,680,0.472,1308,0.966,27,0.02,0,0,19,0.014,86,0.06,194656,2,Small-in a metro area with fewer than 1 million residents,0,2019
34,01C0001029,1215926993,North River Surgical Center Inc,301 Rice Mine Road Northeast,Tuscaloosa,AL,Alabama,Tuscaloosa County,35406,33.23,-87.53,NA,NA,2148,No Different Than the NAtioNAl Rate,12.9,NA,NA,1,1125,10406,1011,"Tuscaloosa, AL",46220,45.2,35.3,48.9,1440,760,0.528,680,0.472,1308,0.966,27,0.02,0,0,19,0.014,86,0.06,194656,2,Small-in a metro area with fewer than 1 million residents,0,2019
35,01C0001024,1275725673,Tuscaloosa Endoscopy Center,100 Rice Mine Road Northeast Suite E,Tuscaloosa,AL,Alabama,Tuscaloosa County,35406,33.23,-87.53,NA,NA,396,No Different Than the NAtioNAl Rate,12.8,NA,NA,1,1125,10406,1025,"Tuscaloosa, AL",46220,39.2,34.1,48.8,1351,685,0.507,666,0.493,1255,0.98,0,0,0,0,26,0.02,70,0.052,194656,2,Small-in a metro area with fewer than 1 million residents,0,2019
36,04C0001070,1730132853,"Outpatient Surgery Center, Inc",160 North Highway 201,Mountain Home,AR,Arkansas,Baxter County,72653,36.34,-92.39,33.33,NA,31,No Different Than the NAtioNAl Rate,12.6,NA,4.59,5,5005,950400,1042,"Mountain Home, AR",34260,54.7,49.6,57.2,1517,610,0.402,907,0.598,1446,0.956,2,0.001,24,0.016,0,0,4,0.003,41513,8,Micropolitan not adjacent to a metro area,1,2019
37,04C0001061,1063415891,Harrison Surgery Center,105 Sawgrass Point,Harrison,AR,Arkansas,Boone County,72601,36.26,-93.13,NA,NA,NA,NA,NA,NA,0,5,5009,790501,3013,"Harrison, AR",25460,35.4,27.9,36.3,1041,601,0.577,440,0.423,1009,0.977,3,0.003,0,0,15,0.015,8,0.008,36903,8,Micropolitan not adjacent to a metro area,1,2019
38,04C0001048,1457379364,"Jonesboro Surgery Center, Llc","623 East Matthews Avenue, Suite C",Jonesboro,AR,Arkansas,Craighead County,72401,35.84,-90.7,NA,NA,NA,NA,NA,100,0.4,5,5031,101,4013,"Jonesboro, AR",27860,42,24.8,50.2,1192,619,0.519,573,0.481,720,0.719,272,0.272,0,0,9,0.009,191,0.16,96443,2,Small-in a metro area with fewer than 1 million residents,0,2019
39,04C0001012,1710931134,Eye Surgery Center Of Arkansas,601 East Matthews,Jonesboro,AR,Arkansas,Craighead County,72401,35.84,-90.7,NA,NA,NA,NA,NA,NA,0.27,5,5031,101,4013,"Jonesboro, AR",27860,42,24.8,50.2,1192,619,0.519,573,0.481,720,0.719,272,0.272,0,0,9,0.009,191,0.16,96443,2,Small-in a metro area with fewer than 1 million residents,0,2019
40,04C0001053,1598758153,Outpatient Surgery Center Of Jonesboro,110 East Matthews,Jonesboro,AR,Arkansas,Craighead County,72401,35.84,-90.7,97.73,NA,2126,No Different Than the NAtioNAl Rate,14,94.79,NA,5,5031,101,4013,"Jonesboro, AR",27860,42,24.8,50.2,1192,619,0.519,573,0.481,720,0.719,272,0.272,0,0,9,0.009,191,0.16,96443,2,Small-in a metro area with fewer than 1 million residents,0,2019
41,04C0001034,1447212204,"Conway Outpatient Surgery Center, Inc",1377 Highway 64 West,Wynne,AR,Arkansas,Cross County,72396,35.25,-90.92,94.2,NA,543,No Different Than the NAtioNAl Rate,11.6,NA,NA,5,5037,950300,2038,NA,NA,38.6,33.3,43.8,645,339,0.526,306,0.474,574,0.89,17,0.026,0,0,0,0,0,0,17870,4,Noncore adjacent to a large metro area,1,2019
42,04C0001049,1265439632,"Conway Endoscopy Center, Inc",455 Hogan Lane,Conway,AR,Arkansas,Faulkner County,72034,35.08,-92.5,93.83,NA,1084,No Different Than the NAtioNAl Rate,14.7,NA,NA,5,5045,31001,3010,"Little Rock-North Little Rock-Conway, AR",NA,27,27.4,25.9,1652,824,0.499,828,0.501,1195,0.791,164,0.109,42,0.028,0,0,142,0.086,113237,2,Small-in a metro area with fewer than 1 million residents,0,2019
43,04C0001081,1588802987,South Central Endoscopy Llc,124 Sawtooth Oak Street,Hot Springs national Park,AR,Arkansas,Garland County,71901,34.49,-93.04,29.09,NA,2022,No Different Than the NAtioNAl Rate,11.7,NA,NA,5,5051,11601,3009,"Hot Springs, AR",26300,68.2,68.2,67.5,1380,532,0.386,848,0.614,1280,0.928,92,0.067,0,0,8,0.006,0,0,96024,2,Small-in a metro area with fewer than 1 million residents,0,2019
44,04C0001033,1669424339,"Arkansas Gastroenterology Endosocopy Center, Pllc",151 Mcgowan Court,Hot Springs,AR,Arkansas,Garland County,71913,34.47,-93.07,89.47,NA,1953,No Different Than the NAtioNAl Rate,11.8,NA,NA,5,5051,11801,2000,"Hot Springs, AR",26300,47.8,31.7,48.8,1309,592,0.452,717,0.548,924,0.706,274,0.209,0,0,15,0.011,0,0,96024,2,Small-in a metro area with fewer than 1 million residents,0,2019
45,04C0001010,1023057916,Physicians Day Surgery Center,3805 West 28Th,Pine Bluff,AR,Arkansas,Jefferson County,71603,34.2,-92.04,NA,NA,NA,NA,NA,NA,0.19,5,5069,1501,2014,"Pine Bluff, AR",38220,32.5,25.5,35.7,1199,589,0.491,610,0.509,62,0.054,1078,0.946,0,0,0,0,59,0.049,77435,2,Small-in a metro area with fewer than 1 million residents,0,2019
46,04C0001031,1922016898,Digestive Disease Center,7005 South Hazel Street,Pine Bluff,AR,Arkansas,Jefferson County,71603,34.15,-92.02,NA,NA,150,No Different Than the NAtioNAl Rate,11.7,NA,NA,5,5069,2000,2031,"Pine Bluff, AR",38220,50.9,56.8,49.7,2389,965,0.404,1424,0.596,717,0.3,1655,0.693,0,0,17,0.007,0,0,77435,2,Small-in a metro area with fewer than 1 million residents,0,2019
47,04C0001004,1922068295,"Arkansas Surgery & Endoscopy Center, Llc",4800 South Hazel Street,Pine Bluff,AR,Arkansas,Jefferson County,71603,34.18,-92.02,NA,NA,606,No Different Than the NAtioNAl Rate,13.1,NA,NA,5,5069,1800,3028,"Pine Bluff, AR",38220,36.8,38,36.1,1278,642,0.502,636,0.498,762,0.608,406,0.324,0,0,85,0.068,25,0.02,77435,2,Small-in a metro area with fewer than 1 million residents,0,2019
48,05C0001134,1417935206,Digestive Disease Center,"24411 Health Ctr Dr, #450",Pine Bluff,AR,Arkansas,Jefferson County,71603,34.15,-92.02,NA,NA,2077,No Different Than the NAtioNAl Rate,10.6,NA,NA,5,5069,2104,1021,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77435,2,Small-in a metro area with fewer than 1 million residents,0,2019
49,04C0001082,1992034763,Central Arkansas Surgical Center Llc,151 East Aspen Lane,Russellville,AR,Arkansas,Pope County,72802,35.31,-93.14,NA,NA,NA,Number of Cases Too Small,NA,NA,NA,5,5115,951303,1010,"Russellville, AR",40780,30.8,30.3,31.6,2739,1520,0.555,1219,0.445,1930,0.894,70,0.032,14,0.006,7,0.003,579,0.211,61754,8,Micropolitan not adjacent to a metro area,1,2019
50,04C0001092,1386177376,Executive Surgery Center Of Little Rock Llc,11220 Executive Center Dr Suite 100,Little Rock,AR,Arkansas,Pulaski County,72211,34.74,-92.4,NA,NA,196,No Different Than the NAtioNAl Rate,12.1,NA,NA,5,5119,2407,1023,"Little Rock-North Little Rock-Conway, AR",30780,37.7,37,43.4,1212,589,0.486,623,0.514,882,0.766,123,0.107,7,0.006,112,0.097,60,0.05,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
51,04C0001045,1093799405,"Orthoarkansas Surgery Center, Llc",10301 Kanis Road,Little Rock,AR,Arkansas,Pulaski County,72205,34.74,-92.39,NA,NA,NA,NA,NA,51.52,NA,5,5119,2410,1002,"Little Rock-North Little Rock-Conway, AR",30780,49.2,22.5,53.8,2502,1013,0.405,1489,0.595,490,0.196,1964,0.785,0,0,48,0.019,0,0,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
52,04C0001040,1437110293,Arkansas Speciality Orthopaedic Center,"6101 St Vincent Circle, 2Nd Floor",Little Rock,AR,Arkansas,Pulaski County,72205,34.75,-92.34,NA,NA,NA,NA,NA,100,NA,5,5119,2103,2031,"Little Rock-North Little Rock-Conway, AR",30780,49.2,46.5,49.6,2270,1173,0.517,1097,0.483,1354,0.631,722,0.337,0,0,11,0.005,125,0.055,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
53,04C0001056,1396727418,"Endoscopy Center Of Little Rock, Llc","4200 Rodney Parham Rd, Suite 203",Little Rock,AR,Arkansas,Pulaski County,72205,34.75,-92.37,93.66,NA,1202,No Different Than the NAtioNAl Rate,12.9,NA,NA,5,5119,2103,1003,"Little Rock-North Little Rock-Conway, AR",30780,58.2,56.9,58.4,793,377,0.475,416,0.525,514,0.648,219,0.276,0,0,0,0,0,0,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
54,04C0001055,1588603351,Physician'S Day Surgery Center-Little Rock,"17200 Chenal Parkway, Suite 440",Little Rock,AR,Arkansas,Pulaski County,72223,34.76,-92.45,NA,NA,NA,NA,NA,NA,0.13,5,5119,4216,1008,"Little Rock-North Little Rock-Conway, AR",30780,32.2,31.5,32.9,3285,1418,0.432,1867,0.568,1667,0.54,909,0.294,0,0,219,0.071,197,0.06,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
55,04C0001022,1760418891,Little Rock Diagnostic Clinic Asc,10001 Lile Dr,Little Rock,AR,Arkansas,Pulaski County,72205,34.75,-92.38,100,NA,3061,No Different Than the NAtioNAl Rate,11.8,NA,NA,5,5119,2208,1002,"Little Rock-North Little Rock-Conway, AR",30780,50.3,50.6,48.3,1059,448,0.423,611,0.577,590,0.574,287,0.279,0,0,151,0.147,31,0.029,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
56,04C0001035,1265404669,"North River Surgery Center, Llc",2209 Wildwood Avenue,Sherwood,AR,Arkansas,Pulaski County,72120,34.81,-92.21,NA,NA,676,No Different Than the NAtioNAl Rate,12.2,NA,NA,5,5119,3703,2006,"Little Rock-North Little Rock-Conway, AR",30780,66.3,64.1,69,693,280,0.404,413,0.596,678,0.978,15,0.022,0,0,0,0,0,0,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
57,04C0001077,1588876817,"Freeway Surgery Center, Llc","5800 West Tenth Street, Suite 206",Little Rock,AR,Arkansas,Pulaski County,72204,34.74,-92.34,NA,NA,NA,NA,NA,86.19,NA,5,5119,1800,3004,"Little Rock-North Little Rock-Conway, AR",30780,36.8,41.9,35.8,830,388,0.467,442,0.533,323,0.395,484,0.592,0,0,0,0,13,0.016,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
58,04C0001044,1790742328,"Springhill Surgery Center, Llc","3401 Springhill Drive, Suite 155",North Little Rock,AR,Arkansas,Pulaski County,72117,34.78,-92.22,NA,NA,3567,No Different Than the NAtioNAl Rate,12.1,NA,NA,5,5119,3800,3051,"Little Rock-North Little Rock-Conway, AR",30780,49.5,49.1,52.7,1323,503,0.38,820,0.62,483,0.375,663,0.514,105,0.081,0,0,34,0.026,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
59,04C0001060,1063470730,"Endoscopy Center Of Arkansas, Llc",1024 North University,Little Rock,AR,Arkansas,Pulaski County,72207,34.76,-92.34,NA,NA,3964,No Different Than the NAtioNAl Rate,11.1,NA,NA,5,5119,1501,3003,"Little Rock-North Little Rock-Conway, AR",30780,26.4,26.1,26.6,831,491,0.591,340,0.409,534,0.643,0,0,0,0,297,0.357,0,0,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
60,04C0001024,1972574200,Arkansas Endoscopy Center P A,9501 Lile Dr Suite 100,Little Rock,AR,Arkansas,Pulaski County,72205,34.74,-92.38,NA,NA,461,No Different Than the NAtioNAl Rate,12.1,NA,NA,5,5119,2409,3000,"Little Rock-North Little Rock-Conway, AR",30780,40.2,27.2,51.7,681,336,0.493,345,0.507,95,0.176,313,0.58,0,0,132,0.244,141,0.207,382748,2,Small-in a metro area with fewer than 1 million residents,0,2019
