"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote"
NORTHWEST ENDO CENTER LLC,14C0001168,1003260498,ARLINGTON HEIGHTS,IL,60005,2019,N/A,5,N/A,5,1239,No Different Than the National Rate,12.2,9.1,16.4,,N/A,5,N/A,5
CLINTON COUNTY OUTPATIENT SURGERY LLC,36C0001099,1003323353,WILMINGTON,OH,45177,2019,N/A,5,N/A,5,654,No Different Than the National Rate,12.0,8.9,16.0,,N/A,5,N/A,5
MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,24C0001043,1003802950,ALEXANDRIA,MN,56308,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.00,
UNIVERSITY SURGERY CENTER LTD,10C0001203,1003813221,WINTER PARK,FL,32792,2019,N/A,5,N/A,5,1008,No Different Than the National Rate,12.7,9.6,16.8,,N/A,5,N/A,5
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301,2019,97.92,,N/A,5,4468,No Different Than the National Rate,13.8,11.5,16.6,,100.00,,0.15,
AMBULATORY CENTER FOR ENDOSCOPY LLC,31C0001203,1003842626,NORTH BERGEN,NJ,07047,2019,87.56,,N/A,5,1081,No Different Than the National Rate,12.2,9.2,16.1,,N/A,5,N/A,5
WESTSIDE OUTPATIENT CENTER LLC,10C0001355,1003847500,ROYAL PALM BEACH,FL,33411,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
SILVER SPRING OPHTHALMOLOGY LLC,21C0001177,1003853136,SILVER SPRING,MD,20910,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.76,
OHIO EYE ASSOCIATES INC,36C0001024,1003855594,MANSFIELD,OH,44906,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.09,
PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC DBA PHYSICIANS SURGERY CENTER OF CHATTANOOGA,44C0001060,1003861998,CHATTANOOGA,TN,37412,2019,N/A,5,N/A,5,70,No Different Than the National Rate,11.7,8.4,16.2,,N/A,5,N/A,5
PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,10C0001250,1003870825,SAINT PETERSBURG,FL,33703,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.57,,N/A,5
MEMPHIS SURGERY CENTER LTD LP,44C0001004,1003871104,MEMPHIS,TN,38119,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.17,
WILDCREEK SURGERY CENTER,29C0001035,1003875873,SPARKS,NV,89431,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.14,
CENTRAL TEXAS ENDOSCOPY CENTER LLC,45C0001265,1003887225,BRYAN,TX,77802,2019,N/A,5,N/A,5,2649,No Different Than the National Rate,13.1,10.4,16.5,,N/A,5,N/A,5
AUSTIN ENDOSCOPY CENTER II LP,45C0001295,1003887845,AUSTIN,TX,78745,2019,N/A,5,N/A,5,2708,No Different Than the National Rate,12.3,9.7,15.5,,N/A,5,N/A,5
LOUISVILLE ENDOSCOPY CENTER PLLC,18C0001029,1003888595,LOUISVILLE,KY,40217,2019,N/A,5,N/A,5,2679,No Different Than the National Rate,10.9,8.5,13.8,,N/A,5,N/A,5
DIGESTIVE ENDOSCOPY CENTER LLC,36C0001084,1003888710,KETTERING,OH,45429,2019,N/A,5,N/A,5,2058,No Different Than the National Rate,13.9,10.9,17.6,,N/A,5,N/A,5
ENDOSCOPY GROUP LLC,10C0001252,1003889346,PENSACOLA,FL,32503,2019,100.00,,N/A,5,6352,No Different Than the National Rate,12.0,10.1,14.3,,N/A,5,N/A,5
THE WALDORF ENDOSCOPY ASC LLC,21C0001062,1003889379,WALDORF,MD,20603,2019,N/A,5,N/A,5,2838,No Different Than the National Rate,11.8,9.3,14.8,,N/A,5,N/A,5
COMMUNITY SURGERY CENTER NORTHWEST,15C0001034,1003897448,INDIANAPOLIS,IN,46260,2019,N/A,5,N/A,5,215,No Different Than the National Rate,12.1,8.6,16.9,,N/A,5,N/A,5
BAY AREA ENDOSCOPY CENTER LIMITED PARTNERSHIP,10C0001196,1013011162,ST PETERSBURG,FL,33709,2019,N/A,5,N/A,5,444,No Different Than the National Rate,12.1,8.8,16.6,,N/A,5,N/A,5
GASTROENTEROLOGY DIAGNOSTIC CENTER MEDICAL GROUP,05C0001186,1013048461,MONTEREY PARK,CA,91754,2019,82.04,,N/A,5,478,No Different Than the National Rate,14.8,10.8,20.3,,N/A,5,N/A,5
RENAISSANCE SURGERY CENTER LLC,05C0001702,1013068642,PALM DESERT,CA,92260,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.00,,N/A,5
RENAISSANCE SURGERY CENTER LLC,05C0001813,1013068642,FRESNO,CA,93720,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.00,,N/A,5
TRACY SURGERY CENTER LLC,05C0001859,1013104389,TRACY,CA,95377,2019,96.79,,100.00,,320,No Different Than the National Rate,12.1,8.9,16.8,,99.74,,0.00,
ADVANCED SURGICAL INSTITUTE DBA SOUTH JERSEY MUSCULOSKELETAL INSTITUTE LLC,31C0001233,1013136456,SEWELL,NJ,08080,2019,N/A,5,N/A,5,861,No Different Than the National Rate,12.7,9.5,16.9,,N/A,5,N/A,5
HARRISON ENDO SURGICAL CENTER LLC,31C0001262,1013143007,HARRISON,NJ,07029,2019,N/A,5,N/A,5,365,No Different Than the National Rate,11.3,8.1,15.5,,N/A,5,N/A,5
DESERT MIRAGE SURGERY CENTER,03C0001317,1013195569,SURPRISE,AZ,85378,2019,N/A,5,N/A,5,86,No Different Than the National Rate,12.0,8.6,16.7,,N/A,5,N/A,5
CARLIN VISION SURGERY CENTER LLC,11C0001356,1013222926,SNELLVILLE,GA,30078,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.27,
TUSCAN SURGERY CENTER AT LAS COLINAS,45C0001384,1013227248,IRVING,TX,75039,2019,N/A,5,N/A,5,1727,No Different Than the National Rate,11.5,8.7,15.2,,N/A,5,N/A,5
SOMA SURGERY CENTER,05C0002015,1013275965,BEVERLY HILLS,CA,90211,2019,N/A,5,N/A,5,30,No Different Than the National Rate,12.6,8.9,17.5,,N/A,5,N/A,5
NOVANT HEALTH MATTHEWS SURGERY CENTER,34C0001180,1013298926,MATTHEWS,NC,28103,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.60,,N/A,5
MELBOURNE SURGERY CENTER LLC,10C0001228,1013309459,MELBOURNE,FL,32901,2019,N/A,5,99.15,,N/A,N/A,N/A,N/A,N/A,5,98.56,,0.85,
ROCKFORD DIGESTIVE HEALTH ENDOSCOPY CENTER,34C0001194,1013377290,MOUNT AIRY,NC,27030,2019,N/A,5,N/A,5,138,No Different Than the National Rate,12.3,8.7,16.8,,N/A,5,N/A,5
REX SURGERY CENTER OF WAKEFIELD LLC,34C0001201,1013425933,RALEIGH,NC,27612,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.65,,N/A,5
VENTANA SURGICAL CENTER LLC,05C0002196,1013438563,ADDISON,CA,91356,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
ENDOSCOPY CENTER OF NORTH CAROLINA,34C0001034,1013463157,ASHEVILLE,NC,28801,2019,83.01,,N/A,5,3302,No Different Than the National Rate,12.0,9.6,15.1,,N/A,5,N/A,5
CAMARILLO ENDOSCOPY CENTER LLC,05C0002164,1013463991,CAMARILLO,CA,93012,2019,N/A,5,N/A,5,758,No Different Than the National Rate,10.9,8.1,14.5,,N/A,5,N/A,5
BLOOMFIELD SURGI CENTER LLC DBA AMBULATORY CENTER OF EXCELLENCE IN SURGERY,31C0001195,1013921964,BLOOMFIELD,NJ,07003,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
SOUTH ALABAMA OUTPATIENT SERVICES,01C0001037,1013924133,ENTERPRISE,AL,36330,2019,88.57,,N/A,5,65,No Different Than the National Rate,11.7,8.4,16.2,,100.00,,0.00,
MIAMI LAKES SURGERY CENTER LTD,10C0001487,1013947159,MIAMI LAKES,FL,33014,2019,N/A,5,N/A,5,103,No Different Than the National Rate,12.5,9.0,17.4,,95.95,,1.30,
CLEVELAND CENTER FOR DIGESTIVE,36C0001034,1013967025,BEACHWOOD,OH,44122,2019,N/A,5,N/A,5,1465,No Different Than the National Rate,11.6,9.1,15.0,,N/A,5,N/A,5
OWENSBORO AMBULATORY SURGICAL FACILITY LTD,18C0001006,1013973825,OWENSBORO,KY,42303,2019,100.00,,N/A,5,1236,No Different Than the National Rate,11.7,8.8,15.6,,100.00,,0.19,
AIRPORT ENDOSCOPY CENTER,05C0001514,1013980317,LOS ANGELES,CA,90045,2019,N/A,5,N/A,5,316,No Different Than the National Rate,12.0,8.7,16.4,,N/A,5,N/A,5
MAYFAIR DIGESTIVE HEALTH CENTER LLC,52C0001053,1013984657,WAUWATOSA,WI,53226,2019,50.07,,N/A,5,1125,No Different Than the National Rate,13.1,9.7,17.5,,N/A,5,N/A,5
BLOOMINGTON SURGERY CENTER,15C0001024,1013999580,BLOOMINGTON,IN,47403,2019,N/A,5,100.00,,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.08,
ROANOKE VALLEY CENTER FOR SIGHT LLC,49C0001021,1023005139,SALEM,VA,24153,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,0.11,
THE GABLES SURGICAL CENTER,10C0001322,1023005600,MIAMI,FL,33134,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
THE ENDOSCOPY CENTER LLC,39C0001152,1023006079,LANSDALE,PA,19446,2019,91.40,,N/A,5,2368,No Different Than the National Rate,13.4,10.4,17.2,,N/A,5,N/A,5
BLUE RIDGE SURGICAL CENTER LLC,26C0001072,1023010311,KANSAS CITY,MO,64133,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,2.48,
TUCSON GASTROENTEROLOGY INSTITUTE LLC,03C0001240,1023015989,TUCSON,AZ,85712,2019,99.58,,N/A,5,2683,No Different Than the National Rate,10.5,8.2,13.6,,N/A,5,N/A,5
BAYSIDE AMBULATORY CENTER LLC,10C0001415,1023036688,MIAMI,FL,33133,2019,75.00,,N/A,5,670,No Different Than the National Rate,11.1,8.2,14.7,,N/A,5,1.35,
CAPE SURGERY CENTER LLC,44C0001157,1023039195,DYERSBURG,TN,38024,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.23,
BEVERLY HILLS ENDOSCOPY LLC,05C0001708,1023039682,BEVERLY HILLS,CA,90211,2019,N/A,5,N/A,5,404,No Different Than the National Rate,11.6,8.6,15.7,,N/A,5,N/A,5
GAILEY EYE SURGERY DECATUR LLC,14C0001130,1023056090,DECATUR,IL,62526,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.35,
PHYSICIANS DAY SURGERY CENTER,04C0001010,1023057916,PINE BLUFF,AR,71603,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.19,
TOMS RIVER SURGERY CENTER,31C0001153,1023070026,TOMS RIVER,NJ,08753,2019,74.58,,N/A,5,198,No Different Than the National Rate,11.1,8.2,15.2,,98.87,,N/A,5
SAHARA OUTPATIENT SURGERY CENTER LTD,29C0001022,1023071180,LAS VEGAS,NV,89102,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.85,,N/A,5
MEDICAL PLAZA AMBULATORY SURGERY CENTER ASSOCIATES LP,45C0001157,1023071560,FORT WORTH,TX,76104,2019,87.30,,N/A,5,708,No Different Than the National Rate,12.3,9.3,16.8,,100.00,,0.10,
SOUTH JERSEY EYE PHYSICIANS PA,31C0001069,1023072824,MOORESTOWN,NJ,08057,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.35,
ARIZONA EYE INSTITUTE AND COSMETIC LASER CENTER,03C0001261,1023074291,SUN CITY WEST,AZ,85375,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,N/A,5
PANAMA CITY SURGERY CENTER LLC,10C0001407,1023088473,PANAMA CITY,FL,32405,2019,N/A,5,N/A,5,729,No Different Than the National Rate,11.6,8.7,15.8,,N/A,5,N/A,5
SURGICAL CENTER OF CONNECTICUT LLC,07C0001029,1023113701,BRIDGEPORT,CT,06606,2019,N/A,5,N/A,5,113,No Different Than the National Rate,12.3,8.8,17.0,,N/A,5,N/A,5
MAIN LINE PA ENDOSCOPY ASC LP DBA MAIN LINE ENDOSCOPY CENTER WEST,39C0001137,1023115078,MALVERN,PA,19355,2019,N/A,5,N/A,5,3482,No Different Than the National Rate,11.1,8.8,14.0,,N/A,5,N/A,5
LOCUST GROVE ENDO CENTER,11C0001296,1023134640,LOCUST GROVE,GA,30248,2019,N/A,5,N/A,5,604,No Different Than the National Rate,12.8,9.5,17.4,,N/A,5,N/A,5
PENINSULA ENDOSCOPY CENTER LLC,21C0001433,1023162013,DELMAR,MD,21875,2019,N/A,5,N/A,5,2496,No Different Than the National Rate,11.7,9.2,15.0,,N/A,5,N/A,5
JCMG SURGERY CENTER INC,26C0001049,1023169380,JEFFERSON CITY,MO,65109,2019,100.00,,N/A,5,1866,No Different Than the National Rate,11.9,9.1,15.4,,99.90,,0.19,
SANTA BARBARA SURGERY CENTER LP,05C0001529,1023191822,SANTA BARBARA,CA,93105,2019,N/A,5,N/A,5,367,No Different Than the National Rate,12.2,8.9,17.0,,N/A,5,N/A,5
SAN MARTIN SURGERY CENTER DBA DURANGO OUTPATIENT SURGERY CENTER,29C0001073,1023218500,LAS VEGAS,NV,89113,2019,N/A,1,N/A,5,1138,No Different Than the National Rate,12.5,9.5,16.5,,100.00,,N/A,5
GASTRO SPECIALISTS ENDOSCOPY CENTER LLC,11C0001350,1023252954,DECATUR,GA,30032,2019,N/A,5,N/A,5,313,No Different Than the National Rate,12.3,9.0,16.9,,N/A,5,N/A,5
FLORHAM PARK SURGERY CENTER LLC,31C0001247,1023253291,FLORHAM PARK,NJ,07932,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.49,,N/A,5
CAROLINA DIGESTIVE DISEASES PA,34C0001161,1023257300,GREENVILLE,NC,27834,2019,N/A,5,N/A,5,1469,No Different Than the National Rate,11.5,8.8,15.2,,N/A,5,N/A,5
PHYSICIANS SURGERY CENTER LLC,14C0001028,1023297553,CARBONDALE,IL,62901,2019,N/A,5,N/A,5,62,No Different Than the National Rate,12.4,9.0,17.4,,N/A,5,N/A,5
HATTIESBURG SURGERY CENTER LLC,25C0001076,1023343720,HATTIESBURG,MS,39402,2019,N/A,5,N/A,5,123,No Different Than the National Rate,11.9,8.6,16.7,,N/A,5,N/A,5
PICCARD SURGERY CENTER LLC,21C0001508,1023349909,ROCKVILLE,MD,20850,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
OAKLAND PHYSICAN SURGERY CENTER,23C0001122,1023358116,TROY,MI,48083,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
PACIFIC SURGERY CTR,05C0002010,1023365913,COSTA MESA,CA,92627,2019,N/A,5,N/A,5,88,No Different Than the National Rate,11.6,8.3,15.9,,N/A,5,N/A,5
CANDESCENT EYE SURGICENTER LLC,41C0001002,1023399318,WARWICK,RI,02886,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.18,
TEXAS ENDOSCOPY CENTERS LLC,45C0001277,1023420577,PLANO,TX,75093,2019,N/A,5,N/A,5,1216,No Different Than the National Rate,12.4,9.3,16.4,,N/A,5,N/A,5
TEXAS ENDOSCOPY CENTERS LLC DBA TEXAS ENDOSCOPY,45C0001390,1023420577,PLANO,TX,75093,2019,N/A,5,N/A,5,1216,No Different Than the National Rate,12.4,9.3,16.4,,N/A,5,N/A,5
HEARTLAND REGIONAL MEDICAL CENTER,26C0001149,1023428281,KANSAS CITY,MO,64158,2019,N/A,5,N/A,5,171,No Different Than the National Rate,11.8,8.3,16.6,,N/A,5,N/A,5
SOUTH PERRY ENDOSCOPY PLLC,50C0001321,1023507183,SPOKANE,WA,,2019,N/A,5,N/A,5,75,No Different Than the National Rate,12.0,8.7,16.8,,N/A,5,N/A,5
MID BRONX ENDOSCOPY CENTER LLC,33C0001168,1023551413,BRONX,NY,10453,2019,N/A,5,N/A,5,90,No Different Than the National Rate,11.6,8.2,16.1,,N/A,5,N/A,5
NORTHWEST FLORIDA SURGICAL CENTER INC DBA NORTH FLORIDA SURGERY CENTER,10C0001193,1033113402,PENSACOLA,FL,32503,2019,42.31,,N/A,5,56,No Different Than the National Rate,11.7,8.4,16.3,,99.30,,N/A,5
MED ATLANTIC INC,49C0001008,1033135314,RICHMOND,VA,23235,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.41,,N/A,5
LEXINGTON MEDICAL CENTER LEXINGTON,42C0001040,1033137989,LEXINGTON,SC,29072,2019,95.06,,N/A,5,304,No Different Than the National Rate,11.2,8.2,15.7,,98.88,,N/A,5
PARKWEST SURGERY CENTER,44C0001112,1033154851,KNOXVILLE,TN,37923,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.95,,N/A,5
LA VETA SURGICAL CENTER,05C0001178,1033177373,ORANGE,CA,92868,2019,80.95,,N/A,5,893,No Different Than the National Rate,12.3,9.3,16.2,,97.21,,0.10,
ENDOSCOPY CENTER OF EL PASO,45C0001242,1033181862,EL PASO,TX,79902,2019,N/A,5,N/A,5,2548,No Different Than the National Rate,11.3,8.8,14.4,,N/A,5,N/A,5
RIVERPOINTE SURGERY CENTER,15C0001073,1033190566,ELKHART,IN,46514,2019,N/A,5,N/A,5,1089,No Different Than the National Rate,12.7,9.7,16.6,,N/A,5,N/A,5
SURGICAL ASSOCIATES ENDOSCOPY CLINIC LLC,43C0001018,1033195912,ABERDEEN,SD,57401,2019,N/A,5,N/A,5,1516,No Different Than the National Rate,13.3,10.4,16.9,,N/A,5,N/A,5
WEYMOUTH ENDOSCOPY LLC,22C0001049,1033199906,SOUTH WEYMOUTH,MA,02190,2019,100.00,,N/A,5,2670,No Different Than the National Rate,12.6,10.0,16.0,,N/A,5,N/A,5
CARLISLE ENDOSCOPY CENTER LTD,39C0001102,1033210760,CARLISLE,PA,17015,2019,96.79,,N/A,5,1900,No Different Than the National Rate,10.9,8.4,14.2,,N/A,5,N/A,5
CAPE COD EYE SURGERY AND LASER CENTER,22C0001030,1033213269,SANDWICH,MA,02563,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.56,
SOUTH HILLS ENDOSCOPY CENTER,39C0001193,1033214903,PITTSBURGH,PA,15241,2019,N/A,5,N/A,5,1431,No Different Than the National Rate,12.4,9.4,16.4,,N/A,5,N/A,5
ENDOSCOPY CENTER AT ST MARY,39C0001231,1033220751,LANGHORNE,PA,19047,2019,N/A,5,N/A,5,2110,No Different Than the National Rate,13.3,10.2,17.1,,N/A,5,N/A,5
COTTON ONEIL DIGESTIVE HEALTH CENTER DBA COTTON ONEIL ENDOSCOPY CENTER,17C0001025,1033246459,TOPEKA,KS,66604,2019,91.89,,N/A,5,4397,No Different Than the National Rate,11.4,9.3,14.1,,N/A,5,N/A,5
TEMECULA VALLEY DAY SURGERY CENTER,05C0001225,1033282173,MURRIETA,CA,92562,2019,N/A,5,N/A,5,73,No Different Than the National Rate,11.6,8.3,16.1,,N/A,5,N/A,5
PIKES PEAK ENDOSCOPY AND SURGERY CENTER LLC,06C0001039,1033292214,COLORADO SPRINGS,CO,80907,2019,N/A,5,N/A,5,2717,No Different Than the National Rate,10.3,8.0,13.2,,N/A,5,N/A,5
SSM ST CLARE SURGICAL CENTER LLC,26C0001141,1033351119,FENTON,MO,63026,2019,N/A,1,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,100.00,,0.28,
ATLANTA WEST ENDOSCOPY CENTER LLC,11C0001328,1033355359,DOUGLASVILLE,GA,30135,2019,N/A,5,N/A,5,30,No Different Than the National Rate,12.6,9.1,17.5,,N/A,5,N/A,5
TATTNALL HOSPITAL COMPANY LLC DBA OPTIM SURGERY CENTER,11C0001164,1033363064,SAVANNAH,GA,31405,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.88,,N/A,5
MISSION ENDOSCOPY CENTER INC,05C0001885,1033368378,MISSION VIEJO,CA,92691,2019,N/A,5,N/A,5,394,No Different Than the National Rate,11.8,8.6,16.0,,N/A,5,N/A,5
ABILENE SURGERY CENTER,45C0001493,1033375399,ABILENE,TX,79606,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,N/A,5
HIGH DESERT SURGERY CENTER LLC,50C0001281,1033399084,KENNEWICK,WA,99336,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.16,,N/A,5
ENDOSCOPY SURGERY CENTER OF SILICON VALLEY LLC,05C0001541,1033448782,SAN JOSE,CA,95124,2019,N/A,5,N/A,5,468,No Different Than the National Rate,11.9,8.7,16.2,,N/A,5,N/A,5
SUTTER AMADOR SURGERY CENTER LLC,05C0001640,1033453311,JACKSON,CA,95642,2019,N/A,5,N/A,5,354,No Different Than the National Rate,14.9,10.9,20.6,,N/A,5,N/A,5
WHITE FENCE SURGICAL SUITES LLC,36C0001280,1033468400,NEW ALBANY,OH,43054,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.21,,N/A,5
CORNERSTONE SURGICARE LLC,10C0001574,1033468442,PENSACOLA,FL,32503,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
MEDSTAR SURGERY CENTER AT TIMONIUM,21C0001600,1033635206,TIMONIUM,MD,21093,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,47.97,,N/A,5
CENTRACARE,24C0001093,1033669395,MONTICELLO,MN,55362,2019,100.00,,N/A,5,106,No Different Than the National Rate,12.0,8.6,16.7,,93.89,,0.00,
INDIANA AMBULATORY SURGICAL ASSOCIATES LLC,39C0001075,1043204688,INDIANA,PA,15701,2019,N/A,5,N/A,5,74,No Different Than the National Rate,11.7,8.4,16.8,,99.01,,0.49,
ST LUKES SURGICAL CENTER INC,10C0001016,1043205040,TARPON SPRINGS,FL,34689,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.02,
SURGERY CENTER OF CANFIELD LLC,36C0001191,1043209653,CANFIELD,OH,44406,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,5,N/A,5
NORTH VALLEY ENDOSCOPY CENTER LLC,03C0001295,1043239338,PHOENIX,AZ,85032,2019,N/A,5,N/A,5,2390,No Different Than the National Rate,11.8,9.2,15.0,,N/A,5,N/A,5
DUTCHESS AMBULATORY SURGICAL CENTER,33C0001034,1043246077,POUGHKEEPSIE,NY,12603,2019,N/A,1,N/A,5,51,No Different Than the National Rate,11.8,8.4,16.3,,100.00,,0.15,
DIGESTIVE DISEASE SPECIALISTS INC SOUTH,37C0001054,1043253263,OKLAHOMA CITY,OK,73109,2019,N/A,5,N/A,5,2799,No Different Than the National Rate,13.0,10.5,16.1,,N/A,5,N/A,5
SIERRA AMBULATORY SURGERY CENTER,05C0001760,1043254063,GRASS VALLEY,CA,95945,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.27,
FOREST AMBULATORY SURGICAL ASSOCIATES LLC DBA FOREST ABULATORY SURGERY CENTER,05C0001066,1043275183,SAN JOSE,CA,95128,2019,N/A,5,N/A,5,310,No Different Than the National Rate,11.4,8.2,15.6,,N/A,5,N/A,5
UPMC MONROEVILLE SURGERY CTR,39C0001046,1043281660,MONROEVILLE,PA,15146,2019,N/A,5,N/A,5,80,No Different Than the National Rate,12.4,8.7,17.1,,N/A,5,N/A,5
GASTROINTESTINAL DIAGNOSTIC CENTER,21C0001160,1043282775,BALTIMORE,MD,21229,2019,N/A,5,N/A,5,2629,No Different Than the National Rate,10.7,8.5,13.7,,N/A,5,N/A,5
NAUGATUCK VALLEY ENDOSCOPY CENTER LLC,07C0001040,1043283906,WATERBURY,CT,06708,2019,93.39,,N/A,5,1138,No Different Than the National Rate,12.5,9.5,16.6,,97.50,,0.57,
GRAND RIVER ENDOSCOPY CENTER LLC,23C0001065,1043288467,GRAND RAPIDS,MI,49503,2019,N/A,5,N/A,5,1511,No Different Than the National Rate,13.0,9.9,16.9,,N/A,5,N/A,5
